Module,Option,Enzyme,Formula,Flux
A,1,A1,C00024 + C00288 + C00002 => C00083 + C00008 + C00009,2
A,2,A2,C00024 + C00036 => C00083 + C00022,2
A,2,C1,C00022 + C00002 + C00001 => C00074 + C00020 + C00009,2
A,2,C2,C00074 + C00288 => C00036 + C00009,2
A,3,A2,C00024 + C00036 => C00083 + C00022,2
A,3,C3,C00022 + C00288 + C00002 => C00036 + C00008 + C00009,2
B,1,B1,C00083 + 2 C00005 => 2 C00006 + C00010 + C01013,2
B,1,B2,C01013 + C00827 => C05668 + C00256,2
B,1,B3,C05668 => C00001 + C00894,2
B,1,B4,C00894 + C00001 => C00827,2
B,1,B5,C00256 + C00006 => C00022 + C00005,2
B,2,B6,C00083 + C00005 => C00222 + C00006 + C00010,2
B,2,B7,C00222 + C00041 => C00099 + C00022,2
B,2,B8,C00099 => C00041,2
C,1,C1,C00022 + C00002 + C00001 => C00074 + C00020 + C00009,1
C,1,C2,C00074 + C00288 => C00036 + C00009,1
C,2,C3,C00022 + C00288 + C00002 => C00036 + C00008 + C00009,1
D,1,D1,C00036 + C00005 => C00149 + C00006,2
D,1,D2,C00149 + C00002 + C00010 => C04348 + C00008 + C00009,2
D,1,D3,C04348 => C00024 + C00048,2
D,1,D4,C00048 + C00004 + C00014 => C00001 + C00037 + C00003,1
D,1,D5,C00048 + C00037 => C03961,1
D,1,D6,C03961 => C00036 + C00014,1
D,3,D1,C00036 + C00005 => C00149 + C00006,2
D,3,D2,C00149 + C00002 + C00010 => C04348 + C00008 + C00009,1
D,3,D3,C04348 => C00024 + C00048,1
D,3,D7,C00149 => C00122 + C00001,1
D,3,D8,C00122 + C05819 => C00042 + C00828,1
D,3,D9,C00042 + C00048 => C00311,1
D,3,D10,C00311 => C00158,1
D,3,D11,C00158 + C00002 + C00010 => C00036 + C00024 + C00008 + C00009,1
D,4,D1,C00036 + C00005 => C00149 + C00006,1
D,4,D7,C00149 => C00122 + C00001,1
D,4,D8,C00122 + C05819 => C00042 + C00828,1
D,4,D14,C00042 + C00002 + C00010 => C00091 + C00008 + C00009,1
D,4,D15,C00091 + C00005 => C00232 + C00006 + C00010,1
D,4,D16,C00232 + C00005 => C00989 + C00006,1
D,4,D17,C00989 + C00002 + C00010 => C11062 + C00020 + C00013,1
D,4,D18,C11062 => C00877 + C00001,1
D,4,D19,C00877 + C00001 => C01144,1
D,4,D20,C01144 + C00003 => C00332 + C00004,1
D,4,D21,C00332 + C00010 => 2 C00024,1
D,2,D1,C00036 + C00005 => C00149 + C00006,1
D,2,D2,C00149 + C00002 + C00010 => C04348 + C00008 + C00009,1
D,2,D3,C04348 => C00024 + C00048,1
D,2,D4,C00048 + C00004 + C00014 => C00001 + C00037 + C00003,1
D,2,D12,C00037 + C00009 + C00342 => C00227 + C00014 + C00343 + C00001,1
D,2,D13,C00227 + C00010 => C00024 + C00009,1
